pid,name,city,state,description,website,visitor_info,latitude,longitude
58,Government Museum,Chennai,Tamil Nadu,"Today, several sport memoribilia, like a hass (doughnut shaped exercise disc), weighing 95ækg, used byæThe Great Gama, for squats, and MajoræDhyan Chand`s gold medal, from 1928 Amsterdam Olympics, andæPT Usha1986 Seoul Asiad shoes, are housed at the National Institute of Sports Museum.",http://www.chennaimuseum.org/,Entry from 10.00am to 5.00 pm,13.070842,80.256399
59,Gandhi Memorial Museum,Madurai,Tamil Nadu,"Gandhi Memorial Museum, established in 1959, is a memorial museum for Gandhi located in the city of  Madurai in Tamilnadu, India. Known as Gandhi Museum, it is now one of the five Gandhi Sanghralayas (Gandhi Museums) in the country. It includes a part of the blood-stained garment worn by Gandhi when he was assassinated by Nathuram Godse.",http://www.gandhimmm.org/,Entry from 10.00am to 5.00 pm,9.929926,78.138602
60,Gass Forest Museum,Coimbatore,Tamil Nadu,"Toward the end of the 19th century, an aborted attempt was made by J. A. Gamble, the conservator of forests ofæMadras Presidencyto establish a forest museum in the province. A few years later in 1902, Gamble's successor as conservator of Forests, Horace Arichibald Gass succeeded in establishing a museum for forestry. It was opened to the public 15 April 1902 byæBaron Ampthill, the thenæGovernor of Madras. When Gass, the first curator, retired in 1905, his successor F. A. Lodge renamed the museum in his honor. It was expanded in 1905 and 1915. In 1912, the Madras Forestry College (currently theæTamil Nadu Forest Academy) was established in the museum grounds to train foresters.",http://iwst.icfre.gov.in/database/Xylarium/ifgtb/home.htm,Entry from 10.00am to 5.00 pm,11.016565,76.945919
61,Vivekanandar Illam,Chennai,Tamil Nadu,"Vivekanandar Illam or Vivekananda House, earlier known as Ice House or Castle Kernan at Chennai,India is an important place for the Ramakrishna Movement in South India. It is remembered as the place where Swami Vivekanandaæstayed for nine days when he visited Chennai (then Madras) in 1897. Vivekananda House now houses a Permanent Exhibition on Indian Culture and SwamijiÍs Life, maintained by theChennai branchæof theæRamakrishna Mathæand is a source of inspiration to thousands of people who visit it every year.",http://www.vivekanandahouse.org/,Entry from 10.00am to 5.00 pm,13.049399,80.280339
62,Swaraj Bhavan,Allahabad,Uttar Pradesh,"Swaraj Bhavan(formerly Anand Bhavan, meaning Adobe of Bliss)is a large mansion located in Allahabad, India. It was owned by Indian political leader Motilal Nehru in the 19th century, it has served as the ancestral home of the Nehru-Gandhi Family future Prime Minister of India Indira Gandhi was born there. The First Prime Minister of India Jawaharlal Nehru was however not born in Anand Bhawan.",http://www.easternuptourism.com/Swaraj-Bhawan.jsp,Entry from 10.00am to 5.00 pm,25.460097,81.860513
63,Allahabad Museum,Allahabad,Uttar Pradesh,"The Allahabad Museum is a museum in Allahabad, Uttar Pradesh.Established in 1931,it is known for its rich collection and unique objects of art, and is funded by Ministry of Culture.",http://www.easternuptourism.com/Allahabad-Museum.jsp,Entry from 10.00am to 5.00 pm,25.457468,81.848736
64,Kanpur Sangrahalaya,Kanpur,Uttar Pradesh,"Kanpur Sangrahalaya/Kanpur Museumis a museum in Kanpur, the industrial hub of Uttar Pradeshin North India. It is the official museum in Kanpur. It was built by the British as King Edward Memorial Hall in honour of Edward VII. It is a storehouse of artifacts and exhibits that tell the story of the events and people who have influenced the making of Kanpur city and tell many interesting details about the historical past of the city.",http://www.holidayiq.com/Kanpur-Sangrahalaya-Kanpur-Sightseeing-400-17532.html,Entry from 10.00am to 5.00 pm,26.449923,80.331874
65,Mathura Museum,Mathura,Uttar Pradesh,"Government Museum, Mathura commonly referred as Mathura museum is an archaeological museum in Mathura city of Uttar Pradesh state in India. The museum was founded by then collector of the Mathura district, Sir F. S. Growse in 1874. Initially it was known as Curzon Museum of Archaeology, then Archaeology Museum, Mathura, and finally changed to the Government Museum, Mathura.",http://mathura-vrindavan.com/mathura/museum.htm,Entry from 10.00am to 5.00 pm,27.495659,77.679236
66,Sarnath Museum,Sarnath,Uttar Pradesh,"Sarnath Museum is the oldest site museum of Archaeological Survey of India. It houses the findings and excavations at the archaeological site of Sarnath, by the Archaeological Survey of India. Sarnath is located near Varanasi, in the state of Uttar Pradesh. The museum has 6,832 sculptures and artifacts.",http://www.sarnathmuseumasi.org/,Entry from 10.00am to 5.00 pm,25.378695,83.02999
67,Gurusaday Museum,Kolkata,West Bengal,"The Gurusaday Museum is a folk arts and crafts museum located in Kolkata, India. The collection, with over 3000 artifacts, include archaeological objects, manuscripts, masks, musical instruments, paintings, textiles and woodwork.It is the outcome of a lifetime of collection by Gurusaday Dutt.",http://www.gurusadaymuseum.org/,Entry from 10.00am to 5.00 pm,22.455059,88.303503
68,Indian Museum,Kolkata,West Bengal,"The Indian Museum is originated from the Asiatic Society of Bengal which was created by Sir William Jones in 1784. The concept of having a museum arose in 1796 from members of the Asiatic Society as a place where man-made and natural objects could be collected, cared for and displayed. The objective began to look achievable in 1808 when the Society was offered suitable accommodation by the Government of India in the Chowringhee-Park Street area.",http://indianmuseumkolkata.org/,Entry from 10.00am to 5.00 pm,22.557944,88.350861
69,Malda Museum,Malda,West Bengal,"Malda Museum is an archaeological museum under the West Bengal Directorate of Archaeology, situated on the Bandh Road of Malda Town.",http://www.westbengaltourism.gov.in/web/guest/district-malda,Entry from 10.00am to 5.00 pm,24.996881,88.146332
70,Sabarna Sangrahashala,Kolkata,West Bengal,The museum took off initially as a collection of historic artifacts found within the district within the premises of the District Library. It was then shifted to a new adjacent building of its own and granted the status of a museum in its own right under the State Directorate of Archaeology.,http://www.kolkatahub.com/travel-in-kolkata/sabarna-sangrahashala.html,Entry from 10.00am to 5.00 pm,22.479746,88.310798
71,Rabindra Museum,Kolkata,West Bengal,"The Rabindra Museum is a museum located in Mungpoo, near Kalimpong, India. On April 13, 2011, it was damaged when a tree fell during a storm.",http://museum.rbu.ac.in/about_rb/,Entry from 10.00am to 5.00 pm,24.091919,88.252583
